TournamentName,TeamA,TeamAScore,TeamB,TeamBScore,ground,city,date,overs,Round,GameResult,gameLink
Lt.Shree Ashokrao Vitthalrao Kondhare Memorial Phoenix Cricket Cup,MYSTERIOUS SHAKUNI,41/1,RIGHTEOUS RADHEYA,42/1,Champions Field, Pune Cantonment, 21-Dec-21, 6 Ov.,LEAGUE MATCHES,RIGHTEOUS RADHEYA won by 9 wickets,https://cricheroes.in/scorecard/2669922/Lt.Shree-Ashokrao-Vitthalrao-Kondhare-Memorial-Phoenix-Cricket-Cup/MYSTERIOUS-SHAKUNI-vs-RIGHTEOUS-RADHEYA
Lt.Shree Ashokrao Vitthalrao Kondhare Memorial Phoenix Cricket Cup,DAUNTLESS DHANANJAYA,42/6,MYSTERIOUS SHAKUNI,23/4,Champions Field, Pune Cantonment, 21-Dec-21, 6 Ov.,LEAGUE MATCHES,DAUNTLESS DHANANJAYA won by 19 runs,https://cricheroes.in/scorecard/2669917/Lt.Shree-Ashokrao-Vitthalrao-Kondhare-Memorial-Phoenix-Cricket-Cup/DAUNTLESS-DHANANJAYA-vs-MYSTERIOUS-SHAKUNI
Lt.Shree Ashokrao Vitthalrao Kondhare Memorial Phoenix Cricket Cup,DAUNTLESS DHANANJAYA,93/5,IMMORTALS ASHWATHAMA,82/3,Champions Field, Pune Cantonment, 20-Dec-21, 8 Ov.,LEAGUE MATCHES,DAUNTLESS DHANANJAYA won by 11 runs,https://cricheroes.in/scorecard/2663976/Lt.Shree-Ashokrao-Vitthalrao-Kondhare-Memorial-Phoenix-Cricket-Cup/DAUNTLESS-DHANANJAYA-vs-IMMORTALS-ASHWATHAMA
Lt.Shree Ashokrao Vitthalrao Kondhare Memorial Phoenix Cricket Cup,MYSTERIOUS SHAKUNI,55/4,RIGHTEOUS RADHEYA,57/2,Champions Field, Pune Cantonment, 20-Dec-21, 8 Ov.,LEAGUE MATCHES,RIGHTEOUS RADHEYA won by 8 wickets,https://cricheroes.in/scorecard/2663967/Lt.Shree-Ashokrao-Vitthalrao-Kondhare-Memorial-Phoenix-Cricket-Cup/MYSTERIOUS-SHAKUNI-vs-RIGHTEOUS-RADHEYA
Lt.Shree Ashokrao Vitthalrao Kondhare Memorial Phoenix Cricket Cup,IMMORTALS ASHWATHAMA,48/10,RIGHTEOUS RADHEYA,53/2,Champions Field, Pune Cantonment, 20-Dec-21, 8 Ov.,LEAGUE MATCHES,RIGHTEOUS RADHEYA won by 8 wickets,https://cricheroes.in/scorecard/2663957/Lt.Shree-Ashokrao-Vitthalrao-Kondhare-Memorial-Phoenix-Cricket-Cup/IMMORTALS-ASHWATHAMA-vs-RIGHTEOUS-RADHEYA
Lt.Shree Ashokrao Vitthalrao Kondhare Memorial Phoenix Cricket Cup,MYSTERIOUS SHAKUNI,62/5,IMMORTALS ASHWATHAMA,63/1,Champions Field, Pune Cantonment, 20-Dec-21, 8 Ov.,LEAGUE MATCHES,IMMORTALS ASHWATHAMA won by 9 wickets,https://cricheroes.in/scorecard/2663948/Lt.Shree-Ashokrao-Vitthalrao-Kondhare-Memorial-Phoenix-Cricket-Cup/MYSTERIOUS-SHAKUNI-vs-IMMORTALS-ASHWATHAMA
Lt.Shree Ashokrao Vitthalrao Kondhare Memorial Phoenix Cricket Cup,MYSTERIOUS SHAKUNI,51/6,DAUNTLESS DHANANJAYA,55/5,Champions Field, Pune Cantonment, 20-Dec-21, 8 Ov.,LEAGUE MATCHES,DAUNTLESS DHANANJAYA won by 5 wickets,https://cricheroes.in/scorecard/2663928/Lt.Shree-Ashokrao-Vitthalrao-Kondhare-Memorial-Phoenix-Cricket-Cup/MYSTERIOUS-SHAKUNI-vs-DAUNTLESS-DHANANJAYA
Lt.Shree Ashokrao Vitthalrao Kondhare Memorial Phoenix Cricket Cup,DAUNTLESS DHANANJAYA,85/3,RIGHTEOUS RADHEYA,78/4,Champions Field, Pune Cantonment, 20-Dec-21, 8 Ov.,LEAGUE MATCHES,DAUNTLESS DHANANJAYA won by 7 runs,https://cricheroes.in/scorecard/2663913/Lt.Shree-Ashokrao-Vitthalrao-Kondhare-Memorial-Phoenix-Cricket-Cup/DAUNTLESS-DHANANJAYA-vs-RIGHTEOUS-RADHEYA
Emami City Premier League 2021,STRIKERS(EPL),65/3,VISTA SUPERSTARS (EPL),50/6,Emami City Complex Grounds, Kolkata, 20-Dec-21, 8 Ov.,FINAL,STRIKERS(EPL) won by 15 runs,https://cricheroes.in/scorecard/2670654/Emami-City-Premier-League-2021/STRIKERS(EPL)-vs-VISTA-SUPERSTARS-(EPL)
Emami City Premier League 2021,VISTA SUPERSTARS (EPL),62/3,PR DYNAMITES (EPL),39/7,Emami City Complex Grounds, Kolkata, 20-Dec-21, 8 Ov.,QUALIFIER 2,VISTA SUPERSTARS (EPL) won by 23 runs,https://cricheroes.in/scorecard/2670271/Emami-City-Premier-League-2021/VISTA-SUPERSTARS-(EPL)-vs-PR-DYNAMITES-(EPL)
Emami City Premier League 2021,TIGERS(EPL),45/3,VISTA SUPERSTARS (EPL),47/1,Emami City Complex Grounds, Kolkata, 20-Dec-21, 8 Ov.,ELIMINATOR,VISTA SUPERSTARS (EPL) won by 7 wickets,https://cricheroes.in/scorecard/2666188/Emami-City-Premier-League-2021/TIGERS(EPL)-vs-VISTA-SUPERSTARS-(EPL)
Emami City Premier League 2021,STRIKERS(EPL),59/4,PR DYNAMITES (EPL),46/5,Emami City Complex Grounds, Kolkata, 20-Dec-21, 8 Ov.,QUALIFIER 1,STRIKERS(EPL) won by 13 runs,https://cricheroes.in/scorecard/2666186/Emami-City-Premier-League-2021/STRIKERS(EPL)-vs-PR-DYNAMITES-(EPL)
Emami City Premier League 2021,STRIKERS(EPL),76/3,DYNAMIC DRAGONS (EPL),56/8,Emami City Complex Grounds, Kolkata, 19-Dec-21, 8 Ov.,LEAGUE MATCHES,STRIKERS(EPL) won by 20 runs,https://cricheroes.in/scorecard/2664647/Emami-City-Premier-League-2021/STRIKERS(EPL)-vs-DYNAMIC-DRAGONS-(EPL)
Emami City Premier League 2021,TITANS (EPL),40/5,INSPIRATION DAREDEVILS (EPl),35/4,Emami City Complex Grounds, Kolkata, 19-Dec-21, 8 Ov.,LEAGUE MATCHES,TITANS (EPL) won by 5 runs,https://cricheroes.in/scorecard/2635521/Emami-City-Premier-League-2021/TITANS-(EPL)-vs-INSPIRATION-DAREDEVILS-(EPl)
Emami City Premier League 2021,KINNOVA EAGLES(EPL),48/6,DYNAMIC DRAGONS (EPL),37/6,Emami City Complex Grounds, Kolkata, 19-Dec-21, 8 Ov.,LEAGUE MATCHES,KINNOVA EAGLES(EPL) won by 11 runs,https://cricheroes.in/scorecard/2635543/Emami-City-Premier-League-2021/KINNOVA-EAGLES(EPL)-vs-DYNAMIC-DRAGONS-(EPL)
Emami City Premier League 2021,TIGERS(EPL),47/7,INSPIRATION DAREDEVILS (EPl),48/3,Emami City Complex Grounds, Kolkata, 19-Dec-21, 8 Ov.,LEAGUE MATCHES,INSPIRATION DAREDEVILS (EPl) won by 5 wickets,https://cricheroes.in/scorecard/2662844/Emami-City-Premier-League-2021/TIGERS(EPL)-vs-INSPIRATION-DAREDEVILS-(EPl)
Emami City Premier League 2021,VISTA SUPERSTARS (EPL),54/3,STRIKERS(EPL),56/1,Emami City Complex Grounds, Kolkata, 19-Dec-21, 8 Ov.,LEAGUE MATCHES,STRIKERS(EPL) won by 7 wickets,https://cricheroes.in/scorecard/2635535/Emami-City-Premier-League-2021/VISTA-SUPERSTARS-(EPL)-vs-STRIKERS(EPL)
Emami City Premier League 2021,AK 47 (EPL),51/5,PR DYNAMITES (EPL),53/4,Emami City Complex Grounds, Kolkata, 19-Dec-21, 8 Ov.,LEAGUE MATCHES,PR DYNAMITES (EPL) won by 4 wickets,https://cricheroes.in/scorecard/2635530/Emami-City-Premier-League-2021/AK-47-(EPL)-vs-PR-DYNAMITES-(EPL)
Emami City Premier League 2021,STRIKERS(EPL),67/1,ROYAL CROWNE GABRUS (EPL),35/7,Emami City Complex Grounds, Kolkata, 19-Dec-21, 8 Ov.,LEAGUE MATCHES,STRIKERS(EPL) won by 32 runs,https://cricheroes.in/scorecard/2635523/Emami-City-Premier-League-2021/STRIKERS(EPL)-vs-ROYAL-CROWNE-GABRUS-(EPL)
Emami City Premier League 2021,KINNOVA EAGLES(EPL),63/4 & 6/0,ROYAL CROWNE GABRUS (EPL),63/4 & 5/2,Emami City Complex Grounds, Kolkata, 18-Dec-21, 8 Ov.,LEAGUE MATCHES,Match Tied (KINNOVA EAGLES(EPL) won the super over),https://cricheroes.in/scorecard/2635512/Emami-City-Premier-League-2021/KINNOVA-EAGLES(EPL)-vs-ROYAL-CROWNE-GABRUS-(EPL)
Emami City Premier League 2021,INSPIRATION DAREDEVILS (EPl),34/8,PR DYNAMITES (EPL),38/5,Emami City Complex Grounds, Kolkata, 18-Dec-21, 8 Ov.,LEAGUE MATCHES,PR DYNAMITES (EPL) won by 3 wickets,https://cricheroes.in/scorecard/2635508/Emami-City-Premier-League-2021/INSPIRATION-DAREDEVILS-(EPl)-vs-PR-DYNAMITES-(EPL)
Emami City Premier League 2021,TIGERS(EPL),52/6,AK 47 (EPL),37/5,Emami City Complex Grounds, Kolkata, 18-Dec-21, 8 Ov.,LEAGUE MATCHES,TIGERS(EPL) won by 15 runs,https://cricheroes.in/scorecard/2635506/Emami-City-Premier-League-2021/TIGERS(EPL)-vs-AK-47-(EPL)
Emami City Premier League 2021,VISTA SUPERSTARS (EPL),58/6,DYNAMIC DRAGONS (EPL),36/6,Emami City Complex Grounds, Kolkata, 18-Dec-21, 8 Ov.,LEAGUE MATCHES,VISTA SUPERSTARS (EPL) won by 22 runs,https://cricheroes.in/scorecard/2625293/Emami-City-Premier-League-2021/VISTA-SUPERSTARS-(EPL)-vs-DYNAMIC-DRAGONS-(EPL)
Emami City Premier League 2021,TITANS (EPL),31/6,PR DYNAMITES (EPL),33/2,Emami City Complex Grounds, Kolkata, 18-Dec-21, 8 Ov.,LEAGUE MATCHES,PR DYNAMITES (EPL) won by 6 wickets,https://cricheroes.in/scorecard/2625291/Emami-City-Premier-League-2021/TITANS-(EPL)-vs-PR-DYNAMITES-(EPL)
Emami City Premier League 2021,INSPIRATION DAREDEVILS (EPl),48/3,AK 47 (EPL),25/5,Emami City Complex Grounds, Kolkata, 18-Dec-21, 8 Ov.,LEAGUE MATCHES,INSPIRATION DAREDEVILS (EPl) won by 23 runs,https://cricheroes.in/scorecard/2624748/Emami-City-Premier-League-2021/INSPIRATION-DAREDEVILS-(EPl)-vs-AK-47-(EPL)
Emami City Premier League 2021,DYNAMIC DRAGONS (EPL),40/4,ROYAL CROWNE GABRUS (EPL),41/1,Emami City Complex Grounds, Kolkata, 18-Dec-21, 8 Ov.,LEAGUE MATCHES,ROYAL CROWNE GABRUS (EPL) won by 7 wickets,https://cricheroes.in/scorecard/2624746/Emami-City-Premier-League-2021/DYNAMIC-DRAGONS-(EPL)-vs-ROYAL-CROWNE-GABRUS-(EPL)
Emami City Premier League 2021,VISTA SUPERSTARS (EPL),48/6,KINNOVA EAGLES(EPL),30/5,Emami City Complex Grounds, Kolkata, 18-Dec-21, 8 Ov.,LEAGUE MATCHES,VISTA SUPERSTARS (EPL) won by 18 runs,https://cricheroes.in/scorecard/2624743/Emami-City-Premier-League-2021/VISTA-SUPERSTARS-(EPL)-vs-KINNOVA-EAGLES(EPL)
Emami City Premier League 2021,TITANS (EPL),48/5,TIGERS(EPL),54/4,Emami City Complex Grounds, Kolkata, 18-Dec-21, 8 Ov.,LEAGUE MATCHES,TIGERS(EPL) won by 4 wickets,https://cricheroes.in/scorecard/2624740/Emami-City-Premier-League-2021/TITANS-(EPL)-vs-TIGERS(EPL)
Emami City Premier League 2021,STRIKERS(EPL),52/4,KINNOVA EAGLES(EPL),53/4,Emami City Complex Grounds, Kolkata, 17-Dec-21, 8 Ov.,LEAGUE MATCHES,KINNOVA EAGLES(EPL) won by 4 wickets,https://cricheroes.in/scorecard/2624736/Emami-City-Premier-League-2021/STRIKERS(EPL)-vs-KINNOVA-EAGLES(EPL)
Emami City Premier League 2021,PR DYNAMITES (EPL),36/7,TIGERS(EPL),33/6,Emami City Complex Grounds, Kolkata, 17-Dec-21, 8 Ov.,LEAGUE MATCHES,PR DYNAMITES (EPL) won by 3 runs,https://cricheroes.in/scorecard/2624733/Emami-City-Premier-League-2021/PR-DYNAMITES-(EPL)-vs-TIGERS(EPL)
Emami City Premier League 2021,VISTA SUPERSTARS (EPL),60/4 & 7/0,ROYAL CROWNE GABRUS (EPL),60/4 & 6/0,Emami City Complex Grounds, Kolkata, 17-Dec-21, 8 Ov.,LEAGUE MATCHES,Match Tied (VISTA SUPERSTARS (EPL) won the super over),https://cricheroes.in/scorecard/2624726/Emami-City-Premier-League-2021/VISTA-SUPERSTARS-(EPL)-vs-ROYAL-CROWNE-GABRUS-(EPL)
Emami City Premier League 2021,TITANS (EPL),70/4,AK 47 (EPL),39/4,Emami City Complex Grounds, Kolkata, 17-Dec-21, 8 Ov.,LEAGUE MATCHES,TITANS (EPL) won by 31 runs,https://cricheroes.in/scorecard/2623288/Emami-City-Premier-League-2021/TITANS-(EPL)-vs-AK-47-(EPL)
ACCC Night Tournament 2021,Adelaide Classic,126/9,Adelaide Bullss,60/10,Jail Ground, Adelaide, 18-Dec-21, 20 Ov.,FINAL,Adelaide Classic won by 66 runs,https://cricheroes.in/scorecard/2638241/ACCC-Night-Tournament-2021/Adelaide-Classic-vs-Adelaide-Bullss
ACCC Night Tournament 2021,Adelaide Classic,166/8,Adelaide Sixers XI,156/10,Jail Ground, Adelaide, 12-Dec-21, 20 Ov.,SEMI FINAL,Adelaide Classic won by 10 runs,https://cricheroes.in/scorecard/2598842/ACCC-Night-Tournament-2021/Adelaide-Classic-vs-Adelaide-Sixers-XI
ACCC Night Tournament 2021,Blue 11 Adelaide,128/7,Adelaide Bullss,133/5,Gepps Cross, Adelaide, 12-Dec-21, 20 Ov.,SEMI FINAL,Adelaide Bullss won by 5 wickets,https://cricheroes.in/scorecard/2598844/ACCC-Night-Tournament-2021/Blue-11-Adelaide-vs-Adelaide-Bullss
ACCC Night Tournament 2021,Adelaide Bullss,98/10,Team Royal Enfield,96/10,Jail Ground, Adelaide, 05-Dec-21, 20 Ov.,QUARTER FINAL,Adelaide Bullss won by 2 runs,https://cricheroes.in/scorecard/2554043/ACCC-Night-Tournament-2021/Adelaide-Bullss-vs-Team-Royal-Enfield
ACCC Night Tournament 2021,Adelaide Sixers XI,115/10,Team Challenger 11 Adelaide,114/6,Gepps Cross, Adelaide, 05-Dec-21, 20 Ov.,QUARTER FINAL,Adelaide Sixers XI won by 1 run,https://cricheroes.in/scorecard/2554049/ACCC-Night-Tournament-2021/Adelaide-Sixers-XI-vs-Team-Challenger-11-Adelaide
ACCC Night Tournament 2021,GG LION,72/10,Adelaide Classic,76/4,Jail Ground, Adelaide, 04-Dec-21, 20 Ov.,QUARTER FINAL,Adelaide Classic won by 6 wickets,https://cricheroes.in/scorecard/2554035/ACCC-Night-Tournament-2021/GG-LION-vs-Adelaide-Classic
ACCC Night Tournament 2021,Legends 11 Adelaide,127/9,Blue 11 Adelaide,128/8,Gepps Cross, Adelaide, 04-Dec-21, 20 Ov.,QUARTER FINAL,Blue 11 Adelaide won by 2 wickets,https://cricheroes.in/scorecard/2554037/ACCC-Night-Tournament-2021/Legends-11-Adelaide-vs-Blue-11-Adelaide
ACCC Night Tournament 2021,Team Royal Enfield,169/7,Team Bharat 11,95/10,large north, Adelaide, 28-Nov-21, 20 Ov.,LEAGUE MATCHES,Team Royal Enfield won by 74 runs,https://cricheroes.in/scorecard/2530275/ACCC-Night-Tournament-2021/Team-Royal-Enfield-vs-Team-Bharat-11
ACCC Night Tournament 2021,Royal Strikers (T20),193/8,Soldiers XI Adelaide,166/9,Jail Ground, Adelaide, 28-Nov-21, 20 Ov.,LEAGUE MATCHES,Royal Strikers (T20) won by 27 runs,https://cricheroes.in/scorecard/2530260/ACCC-Night-Tournament-2021/Royal-Strikers-(T20)-vs-Soldiers-XI-Adelaide
ACCC Night Tournament 2021,Blue 11 Adelaide,175/7,GG TIGER,127/8,Gepps Cross, Adelaide, 28-Nov-21, 20 Ov.,LEAGUE MATCHES,Blue 11 Adelaide won by 48 runs,https://cricheroes.in/scorecard/2530271/ACCC-Night-Tournament-2021/Blue-11-Adelaide-vs-GG-TIGER
ACCC Night Tournament 2021,Divine 11 Adelaide,65/10,Team Challenger 11 Adelaide,66/4,large north, Adelaide, 27-Nov-21, 20 Ov.,LEAGUE MATCHES,Team Challenger 11 Adelaide won by 6 wickets,https://cricheroes.in/scorecard/2530251/ACCC-Night-Tournament-2021/Divine-11-Adelaide-vs-Team-Challenger-11-Adelaide
ACCC Night Tournament 2021,falcon 11 Adelaide,102/10,Legends 11 Adelaide,104/1,Jail Ground, Adelaide, 27-Nov-21, 20 Ov.,LEAGUE MATCHES,Legends 11 Adelaide won by 9 wickets,https://cricheroes.in/scorecard/2530242/ACCC-Night-Tournament-2021/falcon-11-Adelaide-vs-Legends-11-Adelaide
ACCC Night Tournament 2021,Adelaide Classic,120/10,Greenacre 11,71/9,Gepps Cross, Adelaide, 27-Nov-21, 20 Ov.,LEAGUE MATCHES,Adelaide Classic won by 49 runs,https://cricheroes.in/scorecard/2530245/ACCC-Night-Tournament-2021/Adelaide-Classic-vs-Greenacre-11
ACCC Night Tournament 2021,Adelaide Bullss,143/8,Adelaide Sixers XI,94/10,Gepps Cross, Adelaide, 26-Nov-21, 20 Ov.,LEAGUE MATCHES,Adelaide Bullss won by 49 runs,https://cricheroes.in/scorecard/2530233/ACCC-Night-Tournament-2021/Adelaide-Bullss-vs-Adelaide-Sixers-XI
ACCC Night Tournament 2021,Spartan 11 Adelaide,86/10,GG LION,87/2,Jail Ground, Adelaide, 26-Nov-21, 20 Ov.,LEAGUE MATCHES,GG LION won by 8 wickets,https://cricheroes.in/scorecard/2530225/ACCC-Night-Tournament-2021/Spartan-11-Adelaide-vs-GG-LION
ACCC Night Tournament 2021,Spartan 11 Adelaide,133/9,falcon 11 Adelaide,95/10,large north, Adelaide, 21-Nov-21, 20 Ov.,LEAGUE MATCHES,Spartan 11 Adelaide won by 38 runs,https://cricheroes.in/scorecard/2499012/ACCC-Night-Tournament-2021/Spartan-11-Adelaide-vs-falcon-11-Adelaide
ACCC Night Tournament 2021,Divine 11 Adelaide,105/10,Adelaide Classic,110/7,Jail Ground, Adelaide, 21-Nov-21, 20 Ov.,LEAGUE MATCHES,Adelaide Classic won by 3 wickets,https://cricheroes.in/scorecard/2499004/ACCC-Night-Tournament-2021/Divine-11-Adelaide-vs-Adelaide-Classic
ACCC Night Tournament 2021,GG LION,152/9,Royal Strikers (T20),87/9,Gepps Cross, Adelaide, 21-Nov-21, 20 Ov.,LEAGUE MATCHES,GG LION won by 65 runs,https://cricheroes.in/scorecard/2499009/ACCC-Night-Tournament-2021/GG-LION-vs-Royal-Strikers-(T20)
ACCC Night Tournament 2021,Team Bharat 11,101/9,Team Challenger 11 Adelaide,102/1,large north, Adelaide, 20-Nov-21, 20 Ov.,LEAGUE MATCHES,Team Challenger 11 Adelaide won by 9 wickets,https://cricheroes.in/scorecard/2499002/ACCC-Night-Tournament-2021/Team-Bharat-11-vs-Team-Challenger-11-Adelaide
ACCC Night Tournament 2021,Greenacre 11,75/10,Blue 11 Adelaide,76/3,Jail Ground, Adelaide, 20-Nov-21, 20 Ov.,LEAGUE MATCHES,Blue 11 Adelaide won by 7 wickets,https://cricheroes.in/scorecard/2498995/ACCC-Night-Tournament-2021/Greenacre-11-vs-Blue-11-Adelaide
ACCC Night Tournament 2021,Legends 11 Adelaide,140/10,Adelaide Sixers XI,137/9,Gepps Cross, Adelaide, 20-Nov-21, 20 Ov.,LEAGUE MATCHES,Legends 11 Adelaide won by 3 runs,https://cricheroes.in/scorecard/2498998/ACCC-Night-Tournament-2021/Legends-11-Adelaide-vs-Adelaide-Sixers-XI
ACCC Night Tournament 2021,GG TIGER,103/5,Team Royal Enfield,107/1,Gepps Cross, Adelaide, 19-Nov-21, 20 Ov.,LEAGUE MATCHES,Team Royal Enfield won by 9 wickets,https://cricheroes.in/scorecard/2498991/ACCC-Night-Tournament-2021/GG-TIGER-vs-Team-Royal-Enfield
ACCC Night Tournament 2021,Soldiers XI Adelaide,179/8,Adelaide Bullss,133/10,Jail Ground, Adelaide, 19-Nov-21, 20 Ov.,LEAGUE MATCHES,Soldiers XI Adelaide won by 46 runs,https://cricheroes.in/scorecard/2504329/ACCC-Night-Tournament-2021/Soldiers-XI-Adelaide-vs-Adelaide-Bullss
ACCC Night Tournament 2021,Adelaide Classic,172/7,Team Royal Enfield,133/10,large north, Adelaide, 14-Nov-21, 20 Ov.,LEAGUE MATCHES,Adelaide Classic won by 39 runs,https://cricheroes.in/scorecard/2464477/ACCC-Night-Tournament-2021/Adelaide-Classic-vs-Team-Royal-Enfield
ACCC Night Tournament 2021,Blue 11 Adelaide,114/9,Team Challenger 11 Adelaide,85/10,Jail Ground, Adelaide, 14-Nov-21, 20 Ov.,LEAGUE MATCHES,Blue 11 Adelaide won by 29 runs,https://cricheroes.in/scorecard/2464473/ACCC-Night-Tournament-2021/Blue-11-Adelaide-vs-Team-Challenger-11-Adelaide
ACCC Night Tournament 2021,Spartan 11 Adelaide,90/9,Royal Strikers (T20),81/10,Gepps Cross, Adelaide, 14-Nov-21, 20 Ov.,LEAGUE MATCHES,Spartan 11 Adelaide won by 9 runs,https://cricheroes.in/scorecard/2464475/ACCC-Night-Tournament-2021/Spartan-11-Adelaide-vs-Royal-Strikers-(T20)
ACCC Night Tournament 2021,Adelaide Bullss,98/8,Legends 11 Adelaide,99/4,large north, Adelaide, 13-Nov-21, 20 Ov.,LEAGUE MATCHES,Legends 11 Adelaide won by 6 wickets,https://cricheroes.in/scorecard/2464471/ACCC-Night-Tournament-2021/Adelaide-Bullss-vs-Legends-11-Adelaide
ACCC Night Tournament 2021,GG TIGER,125/9,Greenacre 11,53/10,Jail Ground, Adelaide, 13-Nov-21, 20 Ov.,LEAGUE MATCHES,GG TIGER won by 72 runs,https://cricheroes.in/scorecard/2464464/ACCC-Night-Tournament-2021/GG-TIGER-vs-Greenacre-11
ACCC Night Tournament 2021,Divine 11 Adelaide,76/10,Team Bharat 11,77/8,Gepps Cross, Adelaide, 13-Nov-21, 20 Ov.,LEAGUE MATCHES,Team Bharat 11 won by 2 wickets,https://cricheroes.in/scorecard/2464467/ACCC-Night-Tournament-2021/Divine-11-Adelaide-vs-Team-Bharat-11
ACCC Night Tournament 2021,falcon 11 Adelaide,64/10,Soldiers XI Adelaide,67/4,Gepps Cross, Adelaide, 12-Nov-21, 20 Ov.,LEAGUE MATCHES,Soldiers XI Adelaide won by 6 wickets,https://cricheroes.in/scorecard/2464460/ACCC-Night-Tournament-2021/falcon-11-Adelaide-vs-Soldiers-XI-Adelaide
ACCC Night Tournament 2021,Adelaide Sixers XI,108/9,GG LION,89/10,Jail Ground, Adelaide, 12-Nov-21, 20 Ov.,LEAGUE MATCHES,Adelaide Sixers XI won by 19 runs,https://cricheroes.in/scorecard/2464458/ACCC-Night-Tournament-2021/Adelaide-Sixers-XI-vs-GG-LION
ACCC Night Tournament 2021,Team Challenger 11 Adelaide,138/8,Adelaide Classic,136/7,Jail Ground, Adelaide, 31-Oct-21, 20 Ov.,LEAGUE MATCHES,Team Challenger 11 Adelaide won by 2 runs,https://cricheroes.in/scorecard/2390960/ACCC-Night-Tournament-2021/Team-Challenger-11-Adelaide-vs-Adelaide-Classic
ACCC Night Tournament 2021,Team Bharat 11,120/7,Blue 11 Adelaide,112/10,large north, Adelaide, 31-Oct-21, 20 Ov.,LEAGUE MATCHES,Team Bharat 11 won by 8 runs,https://cricheroes.in/scorecard/2390967/ACCC-Night-Tournament-2021/Team-Bharat-11-vs-Blue-11-Adelaide
ACCC Night Tournament 2021,Team Royal Enfield,191/8,Greenacre 11,99/8,Gepps Cross, Adelaide, 31-Oct-21, 20 Ov.,LEAGUE MATCHES,Team Royal Enfield won by 92 runs,https://cricheroes.in/scorecard/2390963/ACCC-Night-Tournament-2021/Team-Royal-Enfield-vs-Greenacre-11
ACCC Night Tournament 2021,Adelaide Sixers XI,149/9,Royal Strikers (T20),113/8,Gepps Cross, Adelaide, 30-Oct-21, 20 Ov.,LEAGUE MATCHES,Adelaide Sixers XI won by 36 runs,https://cricheroes.in/scorecard/2390952/ACCC-Night-Tournament-2021/Adelaide-Sixers-XI-vs-Royal-Strikers-(T20)
ACCC Night Tournament 2021,falcon 11 Adelaide,91/9,GG LION,92/5,large north, Adelaide, 30-Oct-21, 20 Ov.,LEAGUE MATCHES,GG LION won by 5 wickets,https://cricheroes.in/scorecard/2390956/ACCC-Night-Tournament-2021/falcon-11-Adelaide-vs-GG-LION
ACCC Night Tournament 2021,GG TIGER,83/10,Divine 11 Adelaide,84/4,Jail Ground, Adelaide, 30-Oct-21, 20 Ov.,LEAGUE MATCHES,Divine 11 Adelaide won by 6 wickets,https://cricheroes.in/scorecard/2390948/ACCC-Night-Tournament-2021/GG-TIGER-vs-Divine-11-Adelaide
ACCC Night Tournament 2021,Soldiers XI Adelaide,150/8,Legends 11 Adelaide,147/7,Gepps Cross, Adelaide, 29-Oct-21, 20 Ov.,LEAGUE MATCHES,Soldiers XI Adelaide won by 3 runs,https://cricheroes.in/scorecard/2390945/ACCC-Night-Tournament-2021/Soldiers-XI-Adelaide-vs-Legends-11-Adelaide
ACCC Night Tournament 2021,Adelaide Bullss,157/8,Spartan 11 Adelaide,88/10,Jail Ground, Adelaide, 29-Oct-21, 20 Ov.,LEAGUE MATCHES,Adelaide Bullss won by 69 runs,https://cricheroes.in/scorecard/2390937/ACCC-Night-Tournament-2021/Adelaide-Bullss-vs-Spartan-11-Adelaide
ACCC Night Tournament 2021,Adelaide Sixers XI,152/9,Soldiers XI Adelaide,40/8,large north, Adelaide, 24-Oct-21, 20 Ov.,LEAGUE MATCHES,Adelaide Sixers XI won by 112 runs,https://cricheroes.in/scorecard/2368227/ACCC-Night-Tournament-2021/Adelaide-Sixers-XI-vs-Soldiers-XI-Adelaide
ACCC Night Tournament 2021,Team Challenger 11 Adelaide,122/9,GG TIGER,97/10,Jail Ground, Adelaide, 24-Oct-21, 20 Ov.,LEAGUE MATCHES,Team Challenger 11 Adelaide won by 25 runs,https://cricheroes.in/scorecard/2368223/ACCC-Night-Tournament-2021/Team-Challenger-11-Adelaide-vs-GG-TIGER
ACCC Night Tournament 2021,GG LION,110/8,Adelaide Bullss,112/7,Gepps Cross, Adelaide, 24-Oct-21, 20 Ov.,LEAGUE MATCHES,Adelaide Bullss won by 3 wickets,https://cricheroes.in/scorecard/2368224/ACCC-Night-Tournament-2021/GG-LION-vs-Adelaide-Bullss
ACCC Night Tournament 2021,Divine 11 Adelaide,204/5,Greenacre 11,56/10,large north, Adelaide, 23-Oct-21, 20 Ov.,LEAGUE MATCHES,Divine 11 Adelaide won by 148 runs,https://cricheroes.in/scorecard/2368222/ACCC-Night-Tournament-2021/Divine-11-Adelaide-vs-Greenacre-11
ACCC Night Tournament 2021,Legends 11 Adelaide,164/5,Spartan 11 Adelaide,103/9,Gepps Cross, Adelaide, 23-Oct-21, 20 Ov.,LEAGUE MATCHES,Legends 11 Adelaide won by 61 runs,https://cricheroes.in/scorecard/2368221/ACCC-Night-Tournament-2021/Legends-11-Adelaide-vs-Spartan-11-Adelaide
